anio_quiebre,bic,sse,r2_ajustado
2019,94.66714040948636,158.22416137315625,0.8887200777029794
2018,104.21854829616808,277.5109226121139,0.8048250429211012
2017,111.07415333246365,415.35400373542416,0.7078792463786381
2016,116.13834720459343,559.4895973671148,0.6065078912052514
2015,120.18088592232806,709.6850854409347,0.5008745789654093
2014,123.54126641226787,864.7935177160264,0.39178596606716953
2013,126.31078579788681,1017.8050498023523,0.28417211459629566
2012,128.4834119768768,1156.5598318022928,0.1865851138165715
2011,130.26458620890844,1284.3142154524473,0.09673475365466966
